online_order,book_table,votes,location,rest_type,cost,type,rate
1,0,213,1,73,400.0,4,3.0
1,0,11,1,73,500.0,4,2.9
1,0,58,1,73,300.0,4,3.8
0,0,725,31,73,350.0,4,4.2
1,0,750,4,24,500.0,4,3.9
0,0,166,4,24,600.0,4,3.8
0,0,4460,4,73,150.0,4,4.4
0,0,153,4,24,350.0,4,3.9
1,0,469,4,24,750.0,4,3.8
1,0,364,4,24,550.0,4,4.1
1,0,286,4,24,600.0,4,3.8
1,0,527,4,24,500.0,4,3.8
1,0,101,4,73,150.0,4,3.9
1,0,558,4,73,150.0,4,4.1
0,0,94,56,24,550.0,4,3.8
0,0,148,4,26,550.0,4,3.8
0,0,377,4,68,1100.0,4,2.7
0,0,206,4,73,450.0,4,3.9
1,0,5,4,25,800.0,4,3.3
0,0,100,4,73,300.0,4,3.9
1,0,444,4,73,100.0,4,4.2
0,0,133,4,24,650.0,4,3.9
1,0,219,4,16,600.0,4,4.0
0,0,253,4,73,250.0,4,4.2
0,0,51,4,73,350.0,4,3.4
0,0,61,4,24,600.0,4,3.7
1,0,155,56,24,400.0,4,3.8
1,0,233,31,24,800.0,4,3.9
1,0,264,56,24,750.0,4,3.7
0,0,66,4,24,400.0,4,3.9
0,0,238,4,73,600.0,4,4.1
1,0,58,4,73,150.0,4,3.8
1,0,47,4,73,200.0,4,3.9
1,0,155,4,73,400.0,4,3.5
1,0,176,4,24,800.0,4,4.1
1,0,93,4,73,200.0,4,3.7
0,0,124,4,73,300.0,4,3.8
1,0,275,4,73,100.0,4,4.3
0,0,254,4,73,150.0,4,4.2
0,0,177,4,73,100.0,4,4.1
1,0,23,31,73,300.0,4,3.7
1,0,132,4,73,200.0,4,4.0
1,0,35,31,73,300.0,4,3.6
1,0,74,4,73,300.0,4,3.8
1,0,38,4,73,200.0,4,3.9
1,0,172,83,24,700.0,4,3.6
1,0,4,4,24,500.0,4,3.4
1,0,543,4,73,300.0,4,3.9
0,0,52,4,73,300.0,4,4.0
0,0,217,4,24,450.0,4,3.7
0,0,34,4,24,750.0,4,2.9
